,id,title,release_date,popularity,vote_average,vote_count
377,1092,The Third Man,1949-08-31,30.285,7.93,1749
378,654,On the Waterfront,1954-06-22,27.774,7.93,1484
379,152532,Dallas Buyers Club,2013-11-01,22.827,7.929,8237
380,775,A Trip to the Moon,1902-04-17,19.892,7.929,1689
381,9323,Ghost in the Shell,1995-11-18,54.841,7.928,3201
382,110,Three Colors: Red,1994-05-12,21.287,7.9,1298
383,378108,In This Corner of the World,2016-11-12,20.589,7.925,535
384,296096,Me Before You,2016-06-01,104.63,7.925,11900
385,8290,Don't Look Now... We're Being Shot At!,1966-12-08,24.809,7.925,1282
386,85,Raiders of the Lost Ark,1981-06-12,75.83,7.926,11959
387,550205,Wish Dragon,2021-01-15,49.421,7.9,1236
388,10997,Farewell My Concubine,1993-01-01,25.518,7.9,526
389,405,La Strada,1954-09-23,17.514,7.9,1005
390,49964,Where Is My Friend's House?,1987-07-01,15.681,7.9,320
391,21334,Children of Heaven,1997-08-01,16.194,7.9,571
392,501929,The Mitchells vs. the Machines,2021-04-22,45.127,7.918,2777
393,491480,The Boy Who Harnessed the Wind,2019-02-14,46.058,7.918,1598
394,360814,Dangal,2016-12-21,25.723,7.9,916
395,223,Rebecca,1940-03-23,24.097,7.9,1666
396,33,Unforgiven,1992-08-07,52.983,7.918,4182
397,142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,34.08,7.9,1404
398,949,Heat,1995-12-15,77.484,7.917,6935
399,829,Chinatown,1974-06-20,73.047,7.917,3610
400,829,Chinatown,1974-06-20,73.047,7.9,3609
401,976893,Perfect Days,2023-11-10,117.714,7.912,661
402,122906,About Time,2013-09-04,51.861,7.915,8116
403,10674,Mulan,1998-06-18,107.981,7.913,9261
404,1646,Freedom Writers,2007-01-05,33.848,7.9,2109
405,458302,"Remi, Nobody's Boy",2018-12-12,19.532,7.9,403
406,671,Harry Potter and the Philosopher's Stone,2001-11-16,184.584,7.9,26435
407,334533,Captain Fantastic,2016-07-08,38.656,7.912,6199
408,13398,Tokyo Godfathers,2003-12-05,22.543,7.9,1182
409,2011,Persepolis,2007-06-27,17.938,7.9,1857
410,714888,"Argentina, 1985",2022-09-29,14.75,7.909,579
411,404378,A Street Cat Named Bob,2016-11-04,20.054,7.9,1339
412,354857,Regular Show: The Movie,2015-09-01,22.154,7.9,356
413,610150,Dragon Ball Super: Super Hero,2022-06-11,66.203,7.908,2711
414,118340,Guardians of the Galaxy,2014-07-30,37.225,7.908,27332
415,7857,Amarcord,1973-12-18,11.819,7.9,1056
416,194,Amélie,2001-04-25,50.19,7.908,11125
417,597,Titanic,1997-11-18,137.878,7.905,24526
418,698948,Thirteen Lives,2022-07-18,27.744,7.902,1159
419,522402,Finch,2021-11-04,38.406,7.902,3279
420,455714,Bad Genius,2017-05-03,24.47,7.9,746
421,313369,La La Land,2016-11-29,62.957,7.902,16247
422,1402,The Pursuit of Happyness,2006-12-14,42.716,7.902,9519
423,752,V for Vendetta,2006-02-23,46.742,7.899,14004
424,505262,My Hero Academia: Two Heroes,2018-08-03,59.029,7.9,952
425,503314,Dragon Ball Super: Broly,2018-12-14,12.599,7.898,2811
426,316029,The Greatest Showman,2017-12-20,72.767,7.898,9109
427,60243,A Separation,2011-02-15,16.928,7.899,1635
428,665,Ben-Hur,1959-11-18,76.285,7.899,2617
429,20722,La Maison en Petits Cubes,2008-06-10,11.721,7.9,417
430,7984,In the Name of the Father,1993-12-12,25.914,7.898,1659
431,1892,Return of the Jedi,1983-05-25,66.762,7.897,15103
432,726684,Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,40.907,7.9,613
433,3112,The Night of the Hunter,1955-08-26,17.806,7.895,1494
